300833B2DDD9014033330009,300833B2DDD9014033330120,300833B2DDD9014033330121,300833B2DDD9014033330007,300833B2DDD9014033330008,300833B2DDD9014033330005,300833B2DDD9014033330006,300833B2DDD9014033330003,300833B2DDD9014033330004,300833B2DDD9014033330001,300833B2DDD9014033330002,300833B2DDD9014033330119,300833B2DDD9014033330110,300833B2DDD9014033330117,300833B2DDD9014033330118,300833B2DDD9014033330115,300833B2DDD9014033330116,300833B2DDD9014033330113,300833B2DDD9014033330114,300833B2DDD9014033330111,300833B2DDD9014033330112,300833B2DDD9014022220004,300833B2DDD9014022220003,300833B2DDD9014022220002,300833B2DDD9014022220001,300833B2DDD9014022220008,300833B2DDD9014022220007,300833B2DDD9014022220006,300833B2DDD9014022220005,300833B2DDD9014033330021,300833B2DDD9014033330022,300833B2DDD9014033330020,300833B2DDD9014033330029,300833B2DDD9014033330027,300833B2DDD9014022220009,300833B2DDD9014033330028,300833B2DDD9014033330025,300833B2DDD9014033330026,300833B2DDD9014033330023,300833B2DDD9014033330024,300833B2DDD9014033330010,300833B2DDD9014033330011,300833B2DDD9014033330018,300833B2DDD9014033330019,300833B2DDD9014033330016,300833B2DDD9014033330017,300833B2DDD9014033330014,300833B2DDD9014033330015,300833B2DDD9014033330012,300833B2DDD9014033330013,300833B2DDD9014022220026,300833B2DDD9014022220025,300833B2DDD9014022220024,300833B2DDD9014022220023,300833B2DDD9014022220029,300833B2DDD9014022220028,300833B2DDD9014022220027,300833B2DDD9014022220022,300833B2DDD9014022220021,300833B2DDD9014022220020,300833B2DDD9014022220015,300833B2DDD9014022220014,300833B2DDD9014022220013,300833B2DDD9014022220012,300833B2DDD9014022220019,300833B2DDD9014022220018,300833B2DDD9014022220017,300833B2DDD9014022220016,300833B2DDD9014022220011,300833B2DDD9014022220010,300833B2DDD9014022220048,300833B2DDD9014022220047,300833B2DDD9014022220046,300833B2DDD9014022220045,300833B2DDD9014033330108,300833B2DDD9014022220049,300833B2DDD9014033330109,300833B2DDD9014022220040,300833B2DDD9014022220044,300833B2DDD9014022220043,300833B2DDD9014022220042,300833B2DDD9014022220041,300833B2DDD9014033330106,300833B2DDD9014033330107,300833B2DDD9014033330104,300833B2DDD9014033330105,300833B2DDD9014033330102,300833B2DDD9014033330103,300833B2DDD9014033330100,300833B2DDD9014033330101,300833B2DDD9014022220037,300833B2DDD9014022220036,300833B2DDD9014022220035,300833B2DDD9014022220034,300833B2DDD9014022220039,300833B2DDD9014022220038,300833B2DDD9014022220033,300833B2DDD9014022220032,300833B2DDD9014022220031,300833B2DDD9014022220030,300833B2DDD9014022220069,300833B2DDD9014022220068,300833B2DDD9014022220067,300833B2DDD9014022220062,300833B2DDD9014033330090,300833B2DDD9014022220061,300833B2DDD9014033330091,300833B2DDD9014022220060,300833B2DDD9014022220066,300833B2DDD9014022220065,300833B2DDD9014022220064,300833B2DDD9014022220063,300833B2DDD9014033330087,300833B2DDD9014033330088,300833B2DDD9014033330085,300833B2DDD9014033330086,300833B2DDD9014033330083,300833B2DDD9014033330084,300833B2DDD9014033330081,300833B2DDD9014033330082,300833B2DDD9014033330089,300833B2DDD9014022220059,300833B2DDD9014022220058,300833B2DDD9014022220057,300833B2DDD9014022220056,300833B2DDD9014022220051,300833B2DDD9014022220050,300833B2DDD9014033330080,300833B2DDD9014022220055,300833B2DDD9014022220054,300833B2DDD9014022220053,300833B2DDD9014022220052,300833B2DDD9014033330076,300833B2DDD9014033330077,300833B2DDD9014033330074,300833B2DDD9014033330075,300833B2DDD9014033330072,300833B2DDD9014033330073,300833B2DDD9014033330070,300833B2DDD9014033330071,300833B2DDD9014033330078,300833B2DDD9014033330079,300833B2DDD9014022220073,300833B2DDD9014022220072,300833B2DDD9014022220071,300833B2DDD9014022220070,300833B2DDD9014022220076,300833B2DDD9014022220075,300833B2DDD9014022220074,300833B2DDD9014033330098,300833B2DDD9014033330099,300833B2DDD9014033330096,300833B2DDD9014033330094,300833B2DDD9014033330095,300833B2DDD9014033330092,300833B2DDD9014033330093,300833B2DDD9014033330043,300833B2DDD9014033330044,300833B2DDD9014033330041,300833B2DDD9014033330042,300833B2DDD9014033330040,300833B2DDD9014033330049,300833B2DDD9014033330047,300833B2DDD9014033330048,300833B2DDD9014033330045,300833B2DDD9014033330046,300833B2DDD9014033330032,300833B2DDD9014033330033,300833B2DDD9014033330030,300833B2DDD9014033330031,300833B2DDD9014033330038,300833B2DDD9014033330039,300833B2DDD9014033330036,300833B2DDD9014033330037,300833B2DDD9014033330034,300833B2DDD9014033330035,300833B2DDD9014033330065,300833B2DDD9014033330066,300833B2DDD9014033330063,300833B2DDD9014033330064,300833B2DDD9014033330061,300833B2DDD9014033330062,300833B2DDD9014033330060,300833B2DDD9014033330069,300833B2DDD9014033330067,300833B2DDD9014033330068,300833B2DDD9014033330054,300833B2DDD9014033330055,300833B2DDD9014033330052,300833B2DDD9014033330053,300833B2DDD9014033330050,300833B2DDD9014033330051,300833B2DDD9014033330058,300833B2DDD9014033330059,300833B2DDD9014033330056,300833B2DDD9014033330057,location_label,activity_label,unix_timestamp,PID
0,0,-62,0,0,0,0,0,0,0,0,-63,-66,-63,0,-57,-61,-57,-59,-64,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,-61,0,0,0,0,0,0,-67,-75,-61,-61,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,-64,0,0,0,0,0,-67,0,-59,-61,-70,-63,0,-65,-64,0,0,0,0,0,0,0,0,0,0,0,0,-64,-71,-69,-61,-64,-58,-69,-57,-69,0,0,0,0,0,0,0,-63,0,0,0,0,-64,-59,0,0,0,0,0,-66,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,-64,-65,0,-58,-58,-65,-64,-66,-66,-67,0,-65,-60,0,0,-72,0,0,-67,TRA,TRA,1563960524176,PID001
0,-56,-60,0,0,0,0,-61,0,0,0,-64,-64,-63,-63,-58,-60,-58,-57,-63,-64,0,0,0,0,-68,0,0,0,-64,-64,-65,0,0,0,0,0,0,-62,0,-64,-70,-68,-63,-76,-70,-71,-62,-66,0,-67,-70,0,-63,0,0,0,0,0,0,-69,0,0,-68,0,0,-70,0,0,-64,-59,0,-63,-60,-59,0,-60,-73,0,0,-68,-59,0,-69,-69,-61,-60,-64,-63,-69,-67,-59,-67,-70,-65,-67,-64,-67,-68,0,-64,0,-60,-59,-71,-57,-63,-64,0,-65,0,-61,-66,0,-59,-62,-69,-63,0,-65,-64,-58,-62,-61,0,-63,0,0,0,-56,-59,-62,0,-62,-69,-69,-60,-63,-57,-68,-57,-68,-65,-65,-58,-63,-64,-62,-72,-60,-69,0,0,0,-62,-58,0,-70,0,-69,-60,-68,-56,0,0,-70,-62,-69,-65,-60,-59,0,0,-64,0,-63,-66,-66,-66,0,-59,-58,-67,-61,-65,-68,-68,0,-65,-61,0,0,-71,0,-69,-68,TRA,TRA,1563960526307,PID001
-71,-59,-60,0,0,0,0,-61,0,0,0,-68,-63,-64,-62,-55,-69,-58,-64,-60,-71,0,0,0,0,-68,0,0,0,-69,-64,-64,0,0,0,0,0,0,-63,0,-60,-74,-63,-63,-75,-69,-71,-62,-63,0,-67,-70,0,-63,0,0,0,0,0,0,-69,0,0,-68,0,0,-70,0,0,-64,-59,0,-63,-60,-57,0,-58,-73,0,0,-68,-59,0,-66,-69,-68,-61,-58,-62,-68,-67,-59,-67,-70,-65,-67,-64,-67,-68,0,-64,0,-60,-59,-70,-57,-60,-64,0,-65,0,-61,-66,0,-59,-61,-70,-62,0,-66,-65,-58,-62,-61,0,-63,0,0,0,-56,-59,-62,0,-61,-71,-68,-60,-64,-59,-69,-57,-67,-65,-65,-58,-63,-64,-62,-72,-60,-69,0,0,0,-60,-59,0,-63,0,-65,-61,-67,-61,0,0,-71,-62,-69,-62,-60,-60,0,0,-61,0,-63,-66,-65,-66,0,-60,-59,-64,-63,-65,-68,-64,0,-64,-61,0,0,-72,0,-70,-66,TRA,TRA,1563960527458,PID001
-70,-58,-60,0,0,0,0,-62,0,0,0,-66,-63,-70,-63,-55,-65,-58,-60,-60,-66,0,0,0,0,-68,0,0,0,-70,-65,-64,0,0,0,0,0,0,-63,0,-62,-71,-66,-64,-74,-70,-71,-62,-65,0,-67,-70,0,-61,0,0,0,0,0,0,-69,0,0,-71,0,0,-70,0,0,-64,-59,0,-63,-59,-55,0,-63,-73,0,0,-68,-59,0,-69,-76,-66,-61,-59,-62,-70,-67,-60,-66,-70,-65,-67,-63,-67,-68,0,-64,0,-60,-58,-70,-57,-60,-63,0,-65,0,-60,-66,0,-59,-61,-70,-62,0,-66,-65,-58,-61,-61,0,-62,0,0,0,-56,-59,-63,0,-61,-71,-68,-60,-64,-59,-69,-57,-67,-65,-64,-58,-63,-63,-61,-71,-59,-73,0,0,0,-60,-59,0,-66,-56,-69,-63,-67,-66,0,0,-70,-61,-68,-62,-61,-64,0,0,-65,0,-63,-66,-65,-66,0,-60,-59,-64,-70,-65,-68,-63,0,-64,-61,0,0,-72,0,-71,-66,TRA,TRA,1563960528513,PID001
-70,-69,-60,0,0,0,0,-62,0,0,0,-64,-65,-67,-67,-59,-59,-60,-59,-60,-66,0,0,0,0,-68,0,0,0,-70,-65,-64,0,0,0,0,0,0,-63,0,-62,-71,-66,-64,-74,-70,-71,-62,-65,0,-67,-68,0,-61,0,0,0,0,0,0,-69,0,0,-71,0,0,-69,0,0,-63,-59,0,-63,-59,-58,0,-60,-73,0,0,-68,-59,0,-69,-68,-65,-62,-60,-66,-73,-67,-60,-66,-70,-65,-66,-63,-67,-66,0,-64,0,-60,-58,-71,-57,-64,-63,0,-65,0,-60,-67,0,-59,-61,-70,-64,0,-66,-66,-58,-61,-61,0,-62,0,0,0,-56,-59,-63,0,-63,-71,-68,-62,-64,-58,-69,-57,-69,-65,-64,-58,-63,-63,-61,-71,-60,-63,0,0,0,-60,-58,0,-66,-56,-69,-63,-67,-55,0,-66,-70,-61,-68,-62,-61,-64,0,0,-65,0,-63,-67,-66,-66,0,-60,-59,-65,-64,-65,-67,-66,0,-66,-61,0,0,-72,0,-69,-66,TRA,TRA,1563960529580,PID001
-72,-59,-61,0,0,0,0,-65,0,0,0,-62,-62,-69,-67,-55,-59,-63,-58,-67,-66,0,0,0,0,-68,0,0,0,-70,-68,-63,0,0,0,0,0,0,-62,-70,-62,-71,-67,-67,-72,-69,-68,-62,-71,0,-67,-68,0,-61,0,0,0,0,0,0,-69,0,0,-71,0,0,-69,0,0,-63,-59,0,-63,-59,-67,0,-60,-73,0,0,-68,-59,-69,-68,-68,-61,-60,-61,-69,-73,-67,-60,-66,-70,-65,-66,-63,-67,-66,0,-64,0,-60,-58,-70,-57,-64,-63,0,-65,0,-60,-67,0,-60,-60,-69,-64,0,-65,-65,-58,-61,-61,0,-62,0,0,0,-56,-59,-63,0,-62,-72,-68,-61,-63,-67,-68,-57,-69,-65,-64,-58,-63,-63,-61,-71,-59,-70,0,0,0,-64,-60,0,-69,-58,-68,-61,-68,-65,0,-65,-70,-61,-67,-62,-61,-67,0,0,-65,0,-63,-68,-64,-63,0,-58,-58,-64,-70,-66,-66,-66,0,-65,-60,0,0,-72,0,-71,-65,TRA,TRA,1563960530672,PID001
-72,-60,-61,0,0,0,0,-62,0,0,-70,-62,-58,-64,-67,-57,-59,-61,-58,-60,-62,0,0,0,0,-68,0,0,0,-70,-68,-67,0,0,0,0,0,0,-65,-70,-64,-71,-67,-67,-72,-69,-71,-63,-62,0,-67,-68,0,-62,0,0,0,0,0,0,-69,0,0,-69,0,0,-69,0,0,-63,-59,0,-63,-59,-61,0,-72,-72,0,0,-66,-59,-64,-65,-66,-63,-60,-63,-69,-69,-67,-59,-66,-70,-64,-66,-63,-67,-66,0,-62,0,-60,-59,-70,-57,-64,-62,0,-64,0,-61,-67,0,-60,-60,-69,-64,0,-65,-65,-58,-62,-61,0,-62,0,0,0,-55,-59,-62,0,-62,-72,-68,-61,-63,-67,-68,-57,-69,-65,-65,-58,-64,-65,-62,-72,-58,-63,0,0,0,-64,-60,0,-73,-58,-68,-61,-68,-65,0,-65,-72,-61,-67,-64,-61,-66,0,0,-65,0,-62,-68,-64,-63,0,-58,-58,-64,-70,-66,-66,-66,0,-65,-60,0,0,-72,0,-71,-65,TRA,TRA,1563960531716,PID001
-72,-60,-58,0,0,0,0,-62,0,0,-70,-62,-63,-64,-66,-59,-61,-61,-59,-60,-65,0,0,0,0,-68,0,0,0,-70,-68,-67,0,0,0,0,0,0,-65,-70,-64,-71,-67,-67,-72,-69,-71,-63,-62,0,-66,-70,0,-62,0,0,0,0,0,0,-69,0,0,-69,0,0,-66,0,0,-64,-59,0,-63,-59,-60,0,-60,-72,0,0,-66,-59,-64,-65,-66,-67,-60,-61,-65,-69,-67,-59,-66,-70,-64,-65,-63,-67,-68,0,-62,0,-60,-59,-70,-57,-61,-62,0,-64,0,-61,-66,0,-60,-59,-69,-62,0,-65,-64,-58,-62,-61,0,-62,0,0,0,-55,-59,-62,0,-62,-72,-68,-59,-62,-67,-68,-57,-69,-65,-65,-58,-64,-65,-62,-72,-58,-61,0,0,0,-61,-60,0,-73,-58,-68,-61,-67,-65,0,-63,-72,-61,-67,-64,-61,-66,0,0,-65,0,-62,-67,-64,-63,0,-58,-58,-62,-70,-64,-65,-66,0,-64,-60,0,0,-72,0,-71,-66,TRA,TRA,1563960532740,PID001
-69,-68,-59,0,0,0,0,-62,0,0,-70,-62,-60,-71,-68,-58,-61,-65,-58,-62,-65,0,0,0,0,-68,0,0,0,-70,-68,-67,0,0,0,0,0,0,-65,-70,-64,-71,-67,-67,-72,-69,-71,-63,-62,0,-66,-70,0,-62,0,0,0,0,0,0,-69,0,0,-69,0,0,-66,0,0,-64,-59,0,-63,-59,-60,0,-59,-72,0,0,-66,-59,-64,-65,-72,-67,-61,-60,-64,-69,-67,-59,-66,-70,-64,-65,-63,-67,-68,0,-62,0,-60,-59,-70,-57,-63,-62,0,-64,0,-61,-68,0,-59,-62,-70,-60,0,-64,-65,-58,-62,-61,0,-62,0,0,0,-55,-59,-62,0,-62,-70,-69,-61,-62,-59,-70,-56,-70,-65,-65,-58,-64,-65,-62,-72,-60,-63,0,0,-69,-63,-58,0,-73,-58,-68,-61,-68,-53,0,-66,-72,-61,-67,-64,-61,-66,0,0,-65,0,-68,-70,-64,-68,0,-61,-60,-64,-70,-65,-65,-72,-69,-65,-60,0,0,-72,0,-68,-67,TRA,TRA,1563960533755,PID001
-69,-58,-61,0,0,0,0,-63,0,0,-70,-67,-59,-64,-64,-57,-68,-57,-70,-61,-58,0,0,0,0,-68,0,0,0,-64,-64,-63,0,0,0,0,0,0,-64,-70,-63,-68,-67,-67,-74,-66,-67,-62,-67,0,-66,-70,0,-63,0,0,0,0,0,0,-69,0,0,-70,0,0,-66,0,0,-64,-59,0,-65,-59,-56,0,-61,-72,0,0,-67,-60,-60,-60,-72,-63,-63,-56,-71,-64,-67,-60,-66,-70,-65,-65,-63,-67,-68,0,-62,0,-60,-58,-70,-57,-63,-62,0,-64,0,-60,-68,0,-59,-62,-70,-60,0,-64,-65,-57,-61,-61,0,-63,0,0,0,-55,-58,-64,0,-62,-70,-69,-61,-62,-69,-70,-56,-70,-65,-63,-59,-63,-64,-60,-72,-60,-64,0,0,-69,-63,-58,0,-71,-59,-71,-61,-68,-61,0,-66,-69,-62,-66,-62,-60,-60,0,0,-67,0,-63,-70,-64,-68,0,-61,-60,-64,-66,-65,-65,-62,-69,-65,-60,0,0,-72,0,-68,-67,TRA,TRA,1563960534830,PID001
