rfid,hour,failed_attempts,device_id,label
RFID-1001,9,0,1,normal
RFID-1001,10,0,1,normal
RFID-1001,11,1,1,normal
RFID-1002,14,0,1,normal# Byte# Byte-compiled / optimized / DLL files
__pycache__/
*.py[cod]
*$py.class

# C extensions
*.so

# Distribution / packaging
.Python
build/
develop-eggs/
dist/
downloads/
eggs/
.eggs/
lib/
lib64/
parts/
sdist/
var/
wheels/
*.egg-info/
.installed.cfg
*.egg

# Environments
.env
.venv
env/
venv/
ENV/

# Project-specific logs and state
fog_node/fog_logs.jsonl
fog_node/rate_limit_state.json
*.log

# Terraform
.terraform/
*.tfstate
*.tfstate.backup
.terraform.lock.hcl

# IDEs
.vscode/
.idea/

# Sensitive Configuration
fog_node/os.env
RFID-3003,2,15,1,anomalous
RFID-3008,5,18,1,anomalous
RFID-3007,0,13,1,anomalous
RFID-3002,3,19,1,anomalous
RFID-3004,3,17,1,anomalous
RFID-3009,4,10,1,anomalous
RFID-3005,3,19,1,anomalous
RFID-3007,3,17,1,anomalous
RFID-3008,0,11,1,anomalous
RFID-3004,5,12,1,anomalous
RFID-3006,3,13,1,anomalous
RFID-3009,5,15,1,anomalous
RFID-3002,0,18,1,anomalous
RFID-3006,2,19,1,anomalous
RFID-3009,3,10,1,anomalous
RFID-3001,4,19,1,anomalous
RFID-3009,0,18,1,anomalous
RFID-3008,3,19,1,anomalous
RFID-3003,5,16,1,anomalous
RFID-3001,5,11,1,anomalous
RFID-3009,5,17,1,anomalous
RFID-3008,4,13,1,anomalous
RFID-3006,4,18,1,anomalous
RFID-3005,1,11,1,anomalous
RFID-3008,2,13,1,anomalous
RFID-3006,0,12,1,anomalous
RFID-3005,3,10,1,anomalous
RFID-3008,0,19,1,anomalous
RFID-3001,2,13,1,anomalous
RFID-3005,5,18,1,anomalous
RFID-3001,1,12,1,anomalous
RFID-3008,2,17,1,anomalous
RFID-3001,3,17,1,anomalous
RFID-3009,2,14,1,anomalous
RFID-3003,3,15,1,anomalous
RFID-3001,0,15,1,anomalous
RFID-3006,3,16,1,anomalous
RFID-3005,0,14,1,anomalous
RFID-3004,0,16,1,anomalous
RFID-3002,4,17,1,anomalous
RFID-3009,4,13,1,anomalous
RFID-3004,3,13,1,anomalous
RFID-3002,5,10,1,anomalous
RFID-3007,2,11,1,anomalous
RFID-3002,3,11,1,anomalous
RFID-3007,4,19,1,anomalous
RFID-3005,4,17,1,anomalous
RFID-3003,0,10,1,anomalous
RFID-3009,4,16,1,anomalous
